datasetID;creator;eventDate;pubDate;reference;country;stateProvince;municipality;verbatimSite;decimalLatitude;decimalLongitude;northBoundingCoordinate;southBoundingCoordinate;verbatimCoordinates;minimumElevationInMeters;maxElevationInMeters;verbatimElevation;organismQuantityPlants;identificationQualifierPlants;scientificNamePlants;classPlants;familyPlants;genusPlants;specificEpithetPlants;infraspecificEpithetPlants;taxonRankPlants;taxonRemarksPlants;establishmentMeansPlants;habitPlants;selfIncompatabilityPlants;organismQuantityAnimals;identificationQualifierAnimals;scientificNameAnimals;classAnimals;orderAnimals;familyAnimals;subfamilyAnimals;genusAnimals;specificEpithetAnimals;taxonRankAnimals;taxonRemarksAnimals;establishmentMeansAnimals;interactionType;interactionTypeIRI;resourceCollected;samplingProtocol;sampleSizeValue;samplingSizeUnit
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;;;;-38;-42.9;38°- 42° S;;;;64;;Acrisione ;Magnoliopsida;Compositae;Acrisione;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Aextoxicon punctatum;Magnoliopsida;Aextoxicaceae;Aextoxicon;punctatum;;species;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Aextoxicon punctatum;Magnoliopsida;Aextoxicaceae;Aextoxicon;punctatum;;species;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Amomyrtus ;Magnoliopsida;Myrtaceae;Amomyrtus;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Amomyrtus ;Magnoliopsida;Myrtaceae;Amomyrtus;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;;;;-38;-42.9;38°- 42° S;;;;;;Anarthrophyllum ;Magnoliopsida;Fabaceae;Anarthrophyllum;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Aristotelia chilensis;Magnoliopsida;Elaeocarpaceae;Aristotelia;chilensis;;species;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Aristotelia chilensis;Magnoliopsida;Elaeocarpaceae;Aristotelia;chilensis;;species;;native;;;;;Sephanoides sephaniodes;Aves;Apodiformes;Trochilidae;;Sephanoides;sephaniodes;species;Sephanoides galeritus;native;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;nectar;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Asteranthera ovata;Magnoliopsida;Gesneriaceae;Asteranthera;ovata;;species;;native;;;;;Sephanoides sephaniodes;Aves;Apodiformes;Trochilidae;;Sephanoides;sephaniodes;species;Sephanoides galeritus;native;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;nectar;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Asteranthera ovata;Magnoliopsida;Gesneriaceae;Asteranthera;ovata;;species;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Azara ;Magnoliopsida;Flacourtiaceae;Azara;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Azara ;Magnoliopsida;Flacourtiaceae;Azara;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Baccharis ;Magnoliopsida;Compositae;Baccharis;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Baccharis ;Magnoliopsida;Compositae;Baccharis;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Berberis ;Magnoliopsida;Berberidaceae;Berberis;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Berberis ;Magnoliopsida;Berberidaceae;Berberis;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;;;;-38;-42.9;38°- 42° S;;;;;;Blepharocalyx ;Magnoliopsida;Myrtaceae;Blepharocalyx;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Boquila ;Magnoliopsida;Lardizabalaceae;Boquila;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Buddleja ;Magnoliopsida;Scrophulariaceae;Buddleja;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Caldcluvia ;Magnoliopsida;Cunoniaceae;Caldcluvia;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;;Caldcluvia ;Magnoliopsida;Cunoniaceae;Caldcluvia;;;genus;;native;;;;;;Insecta;;;;;;class;;;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;;Campsidium ;Magnoliopsida;Bignoniaceae;Campsidium;;;genus;;native;;;;;Sephanoides sephaniodes;Aves;Apodiformes;Trochilidae;;Sephanoides;sephaniodes;species;Sephanoides galeritus;native;pollinated by;http://purl.obolibrary.org/obo/RO_0002456;nectar;;;
