dwc:datasetID;dc:creator;dwc:verbatimEventDate;EML:pubDate;dwc:reference;dwc:country;dwc:stateProvince;dwc:municipality;dwc:verbatimSite;dwc:decimalLatitude;dwc:decimalLongitude;EML:northBoundingCoordinate;EML:southBoundingCoordinate;dwc:verbatimCoordinates;dwc:minimumElevationInMeters;dwc:maxElevationInMeters;dwc:verbatimElevation;dwc:organismQuantityPlants;dwc:scientificNamePlants;dwc:genusPlants;dwc:familyPlants;dwc:taxonRemarksPlants;dwc:establishmentMeansPlants;ppi:habitPlants;ppi:selfIncompatabilityPlants;dwc:organismQuantityAnimals;dwc:scientificNameAnimals;dwc:genusAnimals;dwc:familyAnimals;dwc:subfamilyAnimals;dwc:orderAnimals;dwc:taxonRemarksAnimals;dwc:establishmentMeansAnimals;ppi:interactionType;ppi:resourceCollected;dwc:samplingProtocol;dwc:sampleSizeValue;dwc:samplingSizeUnit;Objective_of_Article_Chapter;Type_of_Analyses;Comments
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;;;;-38;-42.9;38°- 42° S;;;;64;Acrisione sp.;Acrisione;Compositae;;native;;;;;;;;;;;;;;;;Find clues to the present pattern of high dependence on animals for pollination and dispersal by the woody flora of the temperate forest of suthern South America; We assessed pairwise associations between biogeographical affiliation, growth form, and mutualism-dependency by using G-tests. We used one-way ANOVAs to evaluate possible effects of presumed biogeographical origin (all seven categories), growth form (all five categories), and pollinator- and dispersar-dependency (three and two categories, respectively) on the southern latitudinal limit of genera.;Review article, plants not pollinated by S. sephaniodes are insect pollinated, but insect species not specified.
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;Aextoxicon punctatum;Aextoxicon;Aextoxicaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;Aextoxicon punctatum;Aextoxicon;Aextoxicaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;Amomyrtus sp.;Amomyrtus;Myrtaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;Amomyrtus sp.;Amomyrtus;Myrtaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;;;;-38;-42.9;38°- 42° S;;;;;Anarthrophyllum sp.;Anarthrophyllum;Fabaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;Aristotelia chilensis;Aristotelia;Elaeocarpaceae;;native;;;;;;;;;;;;;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;Aristotelia chilensis;Aristotelia;Elaeocarpaceae;;native;;;;Sephanoides galeritus;Sephanoides;Trochilidae;;Apodiformes;Sephanoides sephaniodes;native;pollinator;nectar;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Cordillera of Piuchue in Chiloe, X Region;-42.377;-73.999;-38;-42.9;38°- 42° S;;;;;Asteranthera ovata;Asteranthera;Gesneriaceae;;native;;;;Sephanoides galeritus;Sephanoides;Trochilidae;;Apodiformes;Sephanoides sephaniodes;native;pollinator;nectar;;;;;;
1;Giselle Muschett;;1998;Aizen & Escurra. 1998. High incidence of plant-animal mutualisms in the woody flora of the temperate forest of southern South America: biogeographical origin and present ecological significance. Ecologia Austral, 8, 217-236;Chile;Los Lagos;;Antillanca, X Region;-40.729;-72.188;-38;-42.9;38°- 42° S;;;;;Asteranthera ovata;Asteranthera;Gesneriaceae;;native;;;;;;;;;;;;;;;;;;
